iterations,threads,time_in_ns,matrix_size,gmacs
19,c0,21753000,384,2.603002068680182
20,c0,2480000,384,22.83189677419355
21,c0,7904000,384,7.163854251012146
22,c0,3646000,384,15.530198573779485
23,c0,2862000,384,19.78445283018868
24,c0,1212000,384,46.718732673267326
0,c0,10235000,408,6.635790131900342
1,c0,4108000,408,16.53293865628043
2,c0,2484000,408,27.34191304347826
3,c0,4892000,408,13.883342600163532
4,c0,5479000,408,12.395932104398613
5,c0,79276000,408,0.8567197134063272
6,c0,32980000,408,2.0593484536082474
7,c0,5056000,408,13.433012658227849
8,c0,1700000,408,39.95136
9,c0,6088000,408,11.155931668856768
10,c0,6116000,408,11.104858077174624
11,c0,16291000,408,4.169008164016942
12,c0,10682000,408,6.358108219434563
13,c0,10289000,408,6.600963358927009
14,c0,16798000,408,4.043178473627813
15,c0,7103000,408,9.561778403491482
16,c0,17160000,408,3.957885314685315
17,c0,2101000,408,32.32618372203712
18,c0,9969000,408,6.8128510382184775
19,c0,3551000,408,19.126249507181075
20,c0,16717000,408,4.0627691571454205
21,c0,11402000,408,5.956613927381161
22,c0,4393000,408,15.460348736626452
23,c0,6748000,408,10.064806164789568
24,c0,18964000,408,3.58138114321873
0,c0,20176000,432,3.9959143536875494
1,c0,7868000,432,10.246767666497204
2,c0,3166000,432,25.46480353758686
3,c0,15019000,432,5.367971769092483
4,c0,13370000,432,6.030035003739716
5,c0,19688000,432,4.094959772450223
6,c0,8841000,432,9.119055310485239
7,c0,5255000,432,15.341877830637488
8,c0,17125000,432,4.707828788321168
9,c0,7043000,432,11.44704926877751
10,c0,5551000,432,14.523791749234372
11,c0,1809000,432,44.56692537313433
12,c0,1740000,432,46.33423448275862
13,c0,1864000,432,43.25191416309013
14,c0,3275000,432,24.617272671755725
15,c0,19821000,432,4.067482367186318
16,c0,5269000,432,15.30111368381097
17,c0,1785000,432,45.16614453781513
18,c0,1950000,432,41.34439384615385
19,c0,4148000,432,19.436250723240114
20,c0,14924000,432,5.402142053068882
21,c0,10277000,432,7.844854334922643
22,c0,1758000,432,45.85982252559727
23,c0,2709000,432,29.760637873754153
24,c0,3788000,432,21.28341288278775
0,c0,11014000,456,8.608935536589795
1,c0,2990000,456,31.711978595317724
2,c0,10859000,456,8.731818399484299
3,c0,20823000,456,4.553561734620372
4,c0,13503000,456,7.02205554321262
5,c0,9674000,456,9.801407483977671
6,c0,3221000,456,29.43769512573735
7,c0,4135000,456,22.93078984280532
8,c0,19948000,456,4.753299378383798
9,c0,9007000,456,10.527236149661375
10,c0,2284000,456,41.51436777583187
11,c0,6574000,456,14.423306358381502
12,c0,13795000,456,6.873419064878579
13,c0,9489000,456,9.992498261144483
14,c0,5624000,456,16.859675675675675
15,c0,10482000,456,9.045870635374929
16,c0,14928000,456,6.351742765273312
17,c0,2270000,456,41.770403524229074
18,c0,2080000,456,45.58596923076923
19,c0,5065000,456,18.720398025666338
20,c0,11469000,456,8.267400470834422
21,c0,12336000,456,7.686350194552529
22,c0,2647000,456,35.82123762750283
23,c0,2763000,456,34.31734201954397
24,c0,11556000,456,8.205158878504673
0,c0,10559000,480,10.473719102187706
1,c0,4422000,480,25.009497964721845
2,c0,18019000,480,6.137521505077974
3,c0,21760000,480,5.08235294117647
4,c0,9459000,480,11.691722169362512
5,c0,11555000,480,9.570921678926872
6,c0,2868000,480,38.56066945606695
7,c0,3697000,480,29.913984311604004
8,c0,13597000,480,8.13355887328087
9,c0,13102000,480,8.440848725385438
10,c0,10620000,480,10.413559322033898
11,c0,16655000,480,6.640168117682378
12,c0,7105000,480,15.565376495425756
13,c0,3076000,480,35.953185955786736
14,c0,13868000,480,7.974617825209115
15,c0,12919000,480,8.56041489279356
16,c0,3593000,480,30.7798497077651
17,c0,3720000,480,29.729032258064517
18,c0,6707000,480,16.48904130013419
19,c0,12347000,480,8.95699360168462
20,c0,8699000,480,12.71318542361191
21,c0,7478000,480,14.788981010965498
22,c0,12211000,480,9.056752108754402
23,c0,10401000,480,10.632823766945487
24,c0,4371000,480,25.301304049416608
0,c0,14714000,504,8.700833491912464
1,c0,16292000,504,7.858093788362386
2,c0,17051000,504,7.508302386956776
3,c0,11404000,504,11.226242020343738
4,c0,2810000,504,45.56016512455516
5,c0,25367000,504,5.046874443174203
6,c0,6193000,504,20.67238236718876
7,c0,4904000,504,26.10604893964111
8,c0,20780000,504,6.160927045235804
9,c0,6388000,504,20.041337507827176
10,c0,5075000,504,25.22641655172414
11,c0,15959000,504,8.022060530108403
12,c0,11266000,504,11.36375501508965
13,c0,2923000,504,43.798858706808076
14,c0,7796000,504,16.421762955361725
15,c0,11139000,504,11.49331753299219
16,c0,11222000,504,11.408310818036
17,c0,4496000,504,28.475103202846974
