iterations,threads,time_in_ns,matrix_size,gmacs
22,c3,8132000,720,45.89867191342843
23,c3,7842000,720,47.59602142310635
24,c3,8072000,720,46.239841427155596
0,c3,9307000,744,44.249573869130764
1,c3,8090000,744,50.906153770086526
2,c3,15926000,744,25.85902197664197
3,c3,11299000,744,36.44842764846447
4,c3,8250000,744,49.91888290909091
5,c3,13307000,744,30.948431953107388
6,c3,10895000,744,37.799980174391926
7,c3,7938000,744,51.880925170068025
8,c3,14476000,744,28.44921138436032
9,c3,10299000,744,39.98745353917856
10,c3,8343000,744,49.362433656957926
11,c3,8994000,744,45.789502334889924
12,c3,8419000,744,48.91682907708754
13,c3,7735000,744,53.24250601163542
